Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
Donkey Kong,"Platform, Arcade",Action,Single Player,Side View,Donkey Kong,Unplayed,3.09,15.53,0.04,8.00,6.70,7.83,5.50,8.48,7.30,,Y,ROM,N
Donkey Kong 3,"Shooter, Platform",Action,Single Player,Side View,Donkey Kong,Unplayed,3.02,1.87,0.03,6.00,5.40,N/A,8.80,N/A,6.73,,Y,ROM,N
Donkey Kong 64,"Platform, Adventure","Action, Comedy","Single Player, Multiplayer, Split Screen",Third Person,Donkey Kong,Unplayed,3.28,88.13,0.07,9.00,7.40,N/A,9.00,8.67,8.52,,Y,ROM,Y
Donkey Kong Country,Platform,Action,"Single Player, Multiplayer, Co-operative",Side View,Donkey Kong,Unplayed,3.33,16.57,0.01,8.50,8.00,N/A,7.80,8.89,8.30,,Y,ROM,Y
Donkey Kong Country 2: Diddy's Kong Quest,Platform,"Action, Fantasy, Comedy","Single Player, Multiplayer",Side View,Donkey Kong,Unplayed,3.45,23.68,0.01,8.80,8.90,N/A,8.00,8.98,8.67,0,Y,ROM,Y
Donkey Kong Country 3: Dixie Kong's Double Trouble!,"Platform, Adventure",Action,"Single Player, Multiplayer",Side View,Donkey Kong,Unplayed,3.29,17.55,0.00,8.50,8.00,N/A,7.70,8.32,8.13,,Y,ROM,N
Donkey Kong Country Returns,Platform,Action,"Single Player, Multiplayer, Co-operative",Side View,Donkey Kong,Unplayed,3.77,50.77,3.65,9.00,8.60,7.70,7.80,8.79,8.38,,Y,ROM,Y
Donkey Kong Country: Tropical Freeze,Platform,Action,"Single Player, Multiplayer, Co-operative",Side View,Donkey Kong,Unplayed,3.89,65.68,11.81,9.00,8.60,8.40,8.30,8.45,8.55,0,Y,ROM,Y
Donkey Kong Jr.,"Platform, Arcade",Action,Single Player,Side View,Donkey Kong,Unplayed,2.99,2.12,0.03,5.00,6.60,7.50,6.80,N/A,6.48,,Y,ROM,N
Double Dragon,"Fighting, Hack and Slash/Beat 'em up, Arcade",Action,"Single Player, Multiplayer",Side View,Double Dragon,Unplayed,3.83,6.43,0.03,5.50,6.30,6.00,7.20,5.67,6.13,,Y,ROM,N
